"BusStopKeyName","Days","Time"
"Plaza Alverdi","Habiles",18:12:00
"Plaza Alverdi","Habiles",18:24:00
"Plaza Alverdi","Habiles",18:36:00
"Plaza Alverdi","Habiles",18:48:00
"Plaza Alverdi","Habiles",18:59:00
"Plaza Alverdi","Habiles",19:11:00
"Plaza Alverdi","Habiles",19:23:00
"Plaza Alverdi","Habiles",19:35:00
"Plaza Alverdi","Habiles",19:47:00
"Plaza Alverdi","Habiles",19:58:00
"Plaza Alverdi","Habiles",20:10:00
"Plaza Alverdi","Habiles",20:22:00
"Plaza Alverdi","Habiles",20:32:00
"Plaza Alverdi","Habiles",20:44:00
"Plaza Alverdi","Habiles",20:55:00
"Plaza Alverdi","Habiles",21:07:00
"Plaza Alverdi","Habiles",21:27:00
"Plaza Alverdi","Habiles",21:46:00
"Plaza Alverdi","Habiles",22:10:00
"Plaza Alverdi","Habiles",22:35:00
"Plaza Alverdi","Habiles",23:01:00
"Plaza Alverdi","Habiles",23:29:00
"Plaza Alverdi","Habiles",00:01:00
